!SIL	SIL
अजीबो	a j ii b o
अजूबा	a j uu b aa
अजेय	a j ee y
अज्ञात	a j nj aa t
अटकते	a tx a k t ee
अटकने	a tx a k n ee
अटकलबाजियां	a tx k a l b aa j i y aa q
अटकलबाजियों	a tx k a l b aa j i y o q
अटकलें	a tx k a l ee q
अटकलों	a tx k a l o q
अटकाया	a tx k aa y aa
अटल	a tx a l
अटेंड	a tx ee q dx
अटै	a tx ei
अटैक	a tx ei k
अटैक्स	a tx ei k s
अट्ठाइस	a tx txh aa i s
अट्ठाइसके	a tx txh aa i s k ee
अट्ठाईस	a tx txh aa ii s
अट्ठानबे	a tx txh aa n b ee
अट्ठानवे	a tx txh aa n w ee
अट्ठारह	a tx txh aa r a h
अट्ठावन	a tx txh aa w a n
अट्ठासी	a tx txh aa s ii
अट्रैक्ट	a tx r ei k tx
अट्रैक्टिव	a tx r ei k tx i w
अठत्तर	a txh a t t a r
अठहतर	a txh a h t a r
अठहत्तर	a txh h a t t a r
अठहत्तरपे	a txh h a t t a r p ee
अठाइस	a txh aa i s
अठाईस	a txh aa ii s
अठानवे	a txh aa n w ee
अठारह	a txh aa r a h
अठारहवीं	a txh aa r h a w ii q
अठारा	a txh aa r aa
अठाराह	a txh aa r aa h
अठारिह	a txh aa r i h
अठावन	a txh aa w a n
अठासी	a txh aa s ii
अडवांस्ड	a dx w aa q s dx
अडसठ	a dx s a txh
अड़चनों	a dxq a c n o q
अड़तालीस	a dxq a t aa l ii s
अड़तीस	a dxq a t ii s
अड़सठ	a dxq a s a txh
अड़ियल	a dxq i y a l
अडिग	a dx i g
अडिया	a dx i y aa
अडिशनल	a dx i sh n a l
अड्डा	a dx dx aa
अड्डे	a dx dx ee
अड्डों	a dx dx o q
अड्तालीस	a dx t aa l ii s
अड्तीस	a dx t ii s
अत	a t
अतधिदनयम	a t dh i d n a y a m
अता	a t aa
अति	a t i
अतिक्रमण	a t i k r a m a nx
अतिथियों	a t i th i y o q
अतिरिक्त	a t i r i k t
अतिशयोक्ति	a t i sh y o k t i
अतिसार	a t i s aa r
अतीक	a t ii k
अतीत	a t ii t
अत्यंत	a t y a q t
अत्यधिक	a t y a dh i k
अत्याचार	a t y aa c aa r
अत्याधुनिक	a t y aa dh u n i k
अत्री	a t r ii
अथर्चव्यवस्था	a th a r c a w y a w a s th aa
अथवा	a th w aa
अथाह	a th aa h
अथॉरिटी	a th ax r i tx ii
अथ्योरिटी	a th y o r i tx ii
अदद	a d a d
अदबी	a d b ii
अदा	a d aa
अदाकारी	a d aa k aa r ii
अदान	a d aa n
अदायगी	a d aa y g ii
अदालत	a d aa l a t
अदालती	a d aa l t ii
अदालतों	a d aa l t o q
अदुरदर्शिता	a d u r d a r sh i t aa
अदूरदर्शिता	a d uu r d a r sh i t aa
अदूरदर्शी	a d uu r d a r sh ii
अद्भुत	a d bh u t
अद्वितीय	a d w i t ii y
अद्वैत	a d w ei t
अधकारी	a dh k aa r ii
अधपके	a dh a p k ee
अधिक	a dh i k
अधिकतम	a dh i k t a m
अधिकतर	a dh i k t a r
अधिकता	a dh i k t aa
अधिकरण	a dh i k r a nx
अधिकरणों	a dh i k r a nx o q
अधिकांश	a dh i k aa q sh
अधिकांशत	a dh i k aa q sh a t
अधिकाधिक	a dh i k aa dh i k
अधिकार	a dh i k aa r
अधिकारिणी	a dh i k aa r i nx ii
अधिकारियों	a dh i k aa r i y o q
अधिकारी	a dh i k aa r ii
अधिकारों	a dh i k aa r o q
अधिकृत	a dh i k rq t
अधिग्रहण	a dh i g r a h a nx
अधिनियम	a dh i n i y a m
अधिनियमों	a dh i n i y m o q
अधिया	a dh i y aa
अधिशेष	a dh i sh ee sx
अधिसूचना	a dh i s uu c n aa
अधिसूचित	a dh i s uu c i t
अधिीक्षक	a dh i ii k sx a k
अधीकारी	a dh ii k aa r ii
अधीक्षक	a dh ii k sx a k
अधीन	a dh ii n
अधीनता	a dh ii n t aa
अधीनस्थ	a dh ii n a s th
अधूरा	a dh uu r aa
अधूरी	a dh uu r ii
अध्न्धुधा	a dh n dh u dh aa
अध्यक्ष	a dh y a k sx
अध्यक्षता	a dh y a k sx a t aa
अध्यक्षीय	a dh y a k sx ii y
अध्यक्षों	a dh y a k sx o q
अध्ययन	a dh y a y a n
अध्यादेश	a dh y aa d ee sh
अध्यापनरत	a dh y aa p n a r a t
अध‍िकारी	a dh i k aa r ii
अनंत	a n a q t
अनकही	a n a k h ii
अनगिनत	a n g i n a t
अनजान	a n j aa n
अनजाना	a n j aa n aa
अनजाने	a n j aa n ee
अनदेखी	a n d ee kh ii
अनदेखेपन	a n d ee kh ee p a n
अनपैक	a n p ei k
अनप्रोफेशनल	a n a p r o ph ee sh n a l
अनबन	a n b a n
अनरिचेबल	a n r i c ee b a l
अनलाइक	a n l aa i k
अनलिमिटेड	a n l i m i tx ee dx
अनलिमिडेट	a n l i m i dx ee tx
अनवरत	a n a w r a t
अनशन	a n sh a n
अनसुलझी	a n s u l jh ii
अनाउंसमेंट	a n aa u q s a m ee q tx
अनाज	a n aa j
अनाजों	a n aa j o q
अनाधिकृत	a n aa dh i k rq t
अनायास	a n aa y aa s
अनारकली	a n aa r a k l ii
अनारक्षित	a n aa r a k sx i t
अनावश्यक	a n aa w a sh y a k
अनियंत्रित	a n i y a q t r i t
अनियमितताएं	a n i y m i t t aa ee q
अनियोजित	a n i y o j i t
अनिल	a n i l
अनिवार्य	a n i w aa r y
अनिवार्यता	a n i w aa r y a t aa
अनिश्चित	a n i sh c i t
अनिष्टकारी	a n i sx tx a k aa r ii
अनुकूल	a n u k uu l
अनुकूलन	a n u k uu l a n
अनुग्रह	a n u g r a h
अनुचित	a n u c i t
अनुच्छेद	a n u c ch ee d
अनुदान	a n u d aa n
अनुपप्रिया	a n u p a p r i y aa
अनुपम	a n u p a m
अनुपयुक्त	a n u p y u k t
अनुपयोगी	a n u p y o g ii
अनुपस्थित	a n u p a s th i t
अनुपस्थिति	a n u p a s th i t i
अनुपात	a n u p aa t
अनुपालन	a n u p aa l a n
अनुबंध	a n u b a q dh
अनुभव	a n u bh a w
अनुभवी	a n u bh w ii
अनुभवों	a n u bh w o q
अनुमति	a n u m t i
अनुमती	a n u m t ii
अनुमान	a n u m aa n
अनुमानित	a n u m aa n i t
अनुमानों	a n u m aa n o q
अनुयायियों	a n u y aa y i y o q
अनुयायी	a n u y aa y ii
अनुयोग	a n u y o g
अनुराग	a n u r aa g
अनुरिोधि	a n u r i o dh i
अनुरूप	a n u r uu p
अनुरोध	a n u r o dh
अनुर्वर	a n u r w a r
अनुवाद	a n u w aa d
अनुशंसा	a n u sh a q s aa
अनुशासन	a n u sh aa s a n
अनुशासनहीनता	a n u sh aa s n a h ii n t aa
अनुशासनात्मक	a n u sh aa s n aa t m a k
अनुशासित	a n u sh aa s i t
अनुष्का	a n u sx k aa
अनुसंधान	a n u s a q dh aa n
अनुसंधानकर्ताओं	a n u s a q dh aa n k a r t aa o q
अनुसरण	a n u s r a nx
अनुसा	a n u s aa
अनुसार	a n u s aa r
अनुसारि	a n u s aa r i
अनुसूचित	a n u s uu c i t
अनुसूची	a n u s uu c ii
अनूठा	a n uu txh aa
अनेक	a n ee k
अनोखा	a n o kh aa
अनोखी	a n o kh ii
अन्तरराज्य	a n t a r a r aa j y
अन्तराष्ट्रीय	a n t a r aa sx tx r ii y
अन्तरिक्ष	a n t a r i k sx
अन्तर्राष्ट्रीय	a n t a r r aa sx tx r ii y
अन्न	a n n
अन्नपूर्णा	a n n p uu r nx aa
अन्ना	a n n aa
अन्नापुरा	a n n aa p u r aa
अन्नू	a n n uu
अन्य	a n y
अन्यथा	a n y a th aa
अन्याय	a n y aa y
अप	a p
अपंग	a p a q g
अपंगता	a p a q g a t aa
अपकमिंग	a p k a m i q g
अपग्रेडेड	a p a g r ee dx ee dx
अपडेट	a p dx ee tx
अपडेटेड	a p dx ee tx ee dx
अपडेट्स	a p dx ee tx s
अपना	a p n aa
अपनाई	a p n aa ii
अपनाए	a p n aa ee
अपनाएं	a p n aa ee q
अपनाएंगे	a p n aa ee q g ee
अपनाएगा	a p n aa ee g aa
अपनाकर	a p n aa k a r
अपनाता	a p n aa t aa
अपनाना	a p n aa n aa
अपनाने	a p n aa n ee
अपनाया	a p n aa y aa
अपनायी	a p n aa y ii
अपनायेगी	a p n aa y ee g ii
अपनी	a p n ii
अपने	a p n ee
अपनों	a p n o q
अपमान	a p m aa n
अपमानजनक	a p m aa n j a n a k
अपमानित	a p m aa n i t
अपर	a p a r
अपरकट	a p a r k a tx
अपराजेय	a p r aa j ee y
अपराध	a p r aa dh
अपराधियों	a p r aa dh i y o q
अपराधी	a p r aa dh ii
अपराधों	a p r aa dh o q
अपरिवर्तनेच्छु	a p r i w a r t a n ee c ch u
अपरिवर्तित	a p r i w a r t i t
अपरिहार्य	a p r i h aa r y
अपरेंटिस	a p r ee q tx i s
अपर्चर	a p a r c a r
अपर्याप्त	a p a r y aa p t
अपलोड	a p l o dx
अपवाद	a p w aa d
अपव्यय	a p a w y a y
अपशब्द	a p sh a b d
अपशिष्ट	a p sh i sx tx
अपशिष्टों	a p sh i sx tx o q
अपहरण	a p a h r a nx
अपहृत	a p h rq t
अपाची	a p aa c ii
अपार	a p aa r
अपाहिज	a p aa h i j
अपियरेंस	a p i y r ee q s
अपीयरेंस	a p ii y r ee q s
अपील	a p ii l
अपुष्ट	a p u sx tx
अपूर्ण	a p uu r nx
अपूर्व	a p uu r w
अपेक्षा	a p ee k sx aa
अपेक्षाएं	a p ee k sx aa ee q
अपेक्षाओं	a p ee k sx aa o q
अपेक्षित	a p ee k sx i t
अपॉइंट	a p ax i q tx
अप्रतिम	a p r a t i m
अप्रत्यक्ष	a p r a t y a k sx
अप्रत्याशित	a p r a t y aa sh i t
अप्रभावी	a p r a bh aa w ii
अप्रेल	a p r ee l
अप्रैल	a p r ei l
अप्लाई	a p l aa ii
अप्लाईरिलायंस	a p l aa ii r i l aa y a q s
अप्स	a p s
अफ	a ph
अफगान	a ph g aa n
अफगानिस्तान	a ph g aa n i s t aa n
अफजाई	a ph j aa ii
अफवाह	a ph w aa h
अफवाहें	a ph w aa h ee q
अफवाहों	a ph w aa h o q
अफसर	a ph s a r
अफसरों	a ph s a r o q
अफसोस	a ph s o s
अफसोसनाक	a ph s o s n aa k
अफिसर	a ph i s a r
अफीम	a ph ii m
अफेयर	a ph ee y a r
अफ्रीका	a ph r ii k aa
अफ्रीकाई	a ph r ii k aa ii
अफ्रीकी	a ph r ii k ii
अब	a b
अबतक	a b t a k
अबराम	a b r aa m
अबासी	a b aa s ii
अबु	a b u
अबुंदंतिया	a b u q d a q t i y aa
अब्दिल	a b d i l
अब्दुल	a b d u l
अब्बास	a b b aa s
अब्राहम	a b r aa h a m
अभयारण्य	a bh y aa r a nx y
अभयारण्यों	a bh y aa r a nx y o q
अभारतीय	a bh aa r t ii y
अभाव	a bh aa w
अभि	a bh i
अभिक्रियाओं	a bh i k r i y aa o q
अभिग्राहियों	a bh i g r aa h i y o q
अभिजात्य	a bh i j aa t y
अभिनंदन	a bh i n a q d a n
अभिनय	a bh i n a y
अभिनेता	a bh i n ee t aa
अभिनेताओं	a bh i n ee t aa o q
अभिनेत्री	a bh i n ee t r ii
अभिप्राय	a bh i p r aa y
अभिभावक	a bh i bh aa w a k
अभियंता	a bh i y a q t aa
अभियान	a bh i y aa n
अभियानद्वारा	a bh i y aa n a d w aa r aa
अभियानों	a bh i y aa n o q
अभियोजन	a bh i y o j a n
अभियोजना	a bh i y o j n aa
अभिलाषी	a bh i l aa sx ii
अभिव्यक्ति	a bh i w y a k t i
अभिशप्त	a bh i sh a p t
अभिशाप	a bh i sh aa p
अभिशासन	a bh i sh aa s a n
अभिषेक	a bh i sx ee k
अभी	a bh ii
अभूतपूर्व	a bh uu t p uu r w
अभ्यर्थियों	a bh y a r th i y o q
अभ्यर्थी	a bh y a r th ii
अभ्यास	a bh y aa s
अमदाबाद	a m d aa b aa d
अमर	a m a r
अमरिंदर	a m r i q d a r
अमरीका	a m r ii k aa
अमरोहा	a m r o h aa
अमर्त्य	a m a r t y
अमल	a m a l
अमला	a m l aa
अमली	a m l ii
अमाउंट	a m aa u q tx
अमानवीय	a m aa n w ii y
अमान्य	a m aa n y
अमित	a m i t
अमिता	a m i t aa
अमिताभ	a m i t aa bh
अमिर	a m i r
अमीन	a m ii n
अमीर	a m ii r
अमीरों	a m ii r o q
अमुक	a m u k
अमूमन	a m uu m a n
अमूल्य	a m uu l y
अमृत	a m rq t
अमृतराज	a m rq t r aa j
अमृतसर	a m rq t s a r
अमृता	a m rq t aa
अमेजन	a m ee j a n
अमेरिक	a m ee r i k
अमेरिकन	a m ee r i k a n
अमेरिका	a m ee r i k aa
अमेरिकी	a m ee r i k ii
अम्ल	a m l
अम्लीय	a m l ii y
अयान	a y aa n
अयुनुद्दीन	a y u n u d d ii n
अयुस्टीन	a y u s tx ii n
अयुस्तीन	a y u s t ii n
अरगरल्ली	a r a g r a l l ii
अरजन	a r a j a n
अरण्य	a r a nx y
अरब	a r a b
अरबपति	a r a b a p t i
अरबाज	a r a b aa j
अरबी	a r a b ii
अरबों	a r a b o q
अरमान	a r a m aa n
अरविंद	a r a w i q d
अरशद	a r a sh a d
अरसे	a r a s ee
अरह	a r a h
अरहर	a r a h a r
अराइव	a r aa i w
अराजकतावाद	a r aa j k a t aa w aa d
अरावली	a r aa w l ii
अरुण	a r u nx
अरुणमला	a r u nx a m l aa
अरुणाचल	a r u nx aa c a l
अरुप	a r u p
अरूण	a r uu nx
अरूप	a r uu p
अरेंज	a r ee q j
अरेबिया	a r ee b i y aa
अरोड़ा	a r o dxq aa
अरोपियों	a r o p i y o q
अरोरा	a r o r aa
अर्गो	a r g o
अर्जित	a r j i t
अर्जी	a r j ii
अर्जुन	a r j u n
अर्जून	a r j uu n
अर्जेंटीना	a r j ee q tx ii n aa
अर्डर	a r dx a r
अर्थ	a r th
अर्थमैटिक	a r th a m ei tx i k
अर्थव्यवस्था	a r th a w y a w a s th aa
अर्थव्यवस्थाएं	a r th a w y a w a s th aa ee q
अर्थव्यवस्थाओं	a r th a w y a w a s th aa o q
अर्थव्यवस्थाका	a r th a w y a w a s th aa k aa
अर्थव्यस्था	a r th a w y a s th aa
अर्थशास्त्र	a r th a sh aa s t r
अर्थशास्त्रियों	a r th a sh aa s t r i y o q
अर्थशास्त्री	a r th a sh aa s t r ii
अर्थात	a r th aa t
अर्थिक	a r th i k
अर्थों	a r th o q
अर्द्ध	a r d dh
अर्द्धशताब्दी	a r d dh a sh a t aa b d ii
अर्ध	a r dh
अर्धशतक	a r dh a sh t a k
अर्धशतकीय	a r dh a sh t a k ii y
अर्बोआईस्टेन	a r b o aa ii s tx ee n
अल	a l
अलग	a l a g
अलगअलग	a l a g a l a g
अलगाववाद	a l a g aa w w aa d
अलघ	a l a gh
अलटीमेटम	a l a tx ii m ee tx a m
अलबत्ता	a l a b a t t aa
अलबर्ट	a l a b a r tx
अलर्ट	a l a r tx
अलविदा	a l a w i d aa
अला	a l aa
अलायंस	a l aa y a q s
अलाव	a l aa w
अलावा	a l aa w aa
अलिगढ़	a l i g a dxhq
अलियांज	a l i y aa q j
अली	a l ii
अलीगढ़	a l ii g a dxhq
अल्कोहल	a l k o h a l
अल्जीरिया	a l j ii r i y aa
अल्ट्रासाउंड	a l tx r aa s aa u q dx
अल्ट्रासोनिक	a l tx r aa s o n i k
अल्प	a l p
अल्पजीवी	a l p a j ii w ii
अल्पविकसित	a l p a w i k s i t
अल्पसंख्यक	a l p a s a q kh y a k
अल्पसंख्यकों	a l p a s a q kh y a k o q
अल्बटर	a l b a tx a r
अल्बर्ट	a l b a r tx
अल्मा	a l m aa
अवकाश	a w a k aa sh
अवगत	a w a g a t
अवगुण	a w a g u nx
अवतरित	a w a t r i t
अवतार	a w a t aa r
अवधारणा	a w a dh aa r nx aa
अवधि	a w a dh i
अवधियों	a w a dh i y o q
अवमानना	a w a m aa n n aa
अवरुद्ध	a w a r u d dh
अवरोधक	a w a r o dh a k
अवश्य	a w a sh y
अवश्यंभावी	a w a sh y a q bh aa w ii
अवसर	a w a s a r
अवसरों	a w a s r o q
अवस्थिति	a w a s th i t i
अवाम	a w aa m
अवार्ड	a w aa r dx
अविभाजित	a w i bh aa j i t
अविवाहित	a w i w aa h i t
अवैध	a w ei dh
अवॉर्ड	a w ax r dx
अवॉर्ड्स	a w ax r dx s
अव्यावहारिक	a w y aa w h aa r i k
अव्वल	a w w a l
अशरफ	a sh a r a ph
अशांति	a sh aa q t i
अशोक	a sh o k
अश्लील	a sh l ii l
अश्लीलता	a sh l ii l t aa
अश्विन	a sh w i n
अस	a s
असंख्य	a s a q kh y
असंगठित	a s a q g a txh i t
असंतुलित	a s a q t u l i t
असंतोष	a s a q t o sx
असंदिग्ध	a s a q d i g dh
असंभव	a s a q bh a w
असंवेदनशील	a s a q w ee d n a sh ii l
असंवैधानिक	a s a q w ei dh aa n i k
असगर	a s a g a r
असद	a s a d
असदुद्दीन	a s a d u d d ii n
असदुल्ला	a s a d u l l aa
असफल	a s a ph a l
असफलता	a s a ph a l t aa
असम	a s a m
असमन्वय	a s a m a n w a y
असमय	a s a m a y
असमर्थ	a s a m a r th
असमर्थता	a s a m a r th a t aa
असमान	a s a m aa n
असमानता	a s a m aa n t aa
असमिया	a s a m i y aa
असर	a s a r
असरि	a s a r i
असल	a s a l
असलम	a s a l a m
असलियत	a s a l i y t
असली	a s a l ii
असहज	a s a h a j
असहनशीलता	a s a h n a sh ii l t aa
असहमत	a s a h m a t
असहमति	a s a h a m t i
असहमतियों	a s a h m a t i y o q
असहयोग	a s a h y o g
असाध्य	a s aa dh y
असामयिक	a s aa m y i k
असामाजिक	a s aa m aa j i k
असिंस्टेट	a s i q s tx ee tx
असिस्टमेंन	a s i s tx a m ee q n
असिस्टेंट	a s i s tx ee q tx
असिस्टेंटपदों	a s i s tx ee q tx a p a d o q
असीमानंद	a s ii m aa n a q d
असीमित	a s ii m i t
असीस्टेंस	a s ii s tx ee q s
असुरक्षा	a s u r a k sx aa
असुरक्षित	a s u r a k sx i t
असुरी	a s u r ii
असुविधा	a s u w i dh aa
अस्टिटेंस	a s tx i tx ee q s
अस्ट्रेलियाई	a s tx r ee l i y aa ii
अस्तव्यस्त	a s t a w y a s t
अस्तित्व	a s t i t w
अस्तिव	a s t i w
अस्थाई	a s th aa ii
अस्थायी	a s th aa y ii
अस्थिर	a s th i r
अस्थिरता	a s th i r t aa
अस्पताल	a s p a t aa l
अस्पतालों	a s p a t aa l o q
अस्पष्ट	a s p a sx tx
अस्पृश्यता	a s p rq sh y a t aa
अस्मिता	a s m i t aa
अस्वस्थ	a s w a s th
अस्वीकार	a s w ii k aa r
अस्सी	a s s ii
अस्सीसटेंट	a s s ii s tx ee q tx
अहंकारी	a h a q k aa r ii
अहम	a h a m
अहमद	a h a m a d
अहमदनगर	a h a m d a n g a r
अहमदाबाद	a h a m d aa b aa d
अहमियत	a h a m i y t
अहसास	a h a s aa s
अहिंसा	a h i q s aa
अहूजा	a h uu j aa
अॉडिया	a ax dx i y aa
अॉफ	a ax ph
अॉफिसर	a ax ph i s a r
अॉर्डर	a ax r dx a r
अॉस्ट्रेलियाई	a ax s tx r ee l i y aa ii
अड़चनों	a dxq a c n o q
अड़तालीस	a dxq a t aa l ii s
अड़तीस	a dxq a t ii s
अड़सठ	a dxq a s a txh
अड़े	a dxq ee
आ	aa
आँखों	aa mq kh o q
आँडिट	aa mq dx i tx
आँन	aa mq n
आँनलाइन	aa mq n l aa i n
आँपरेशन	aa mq p r ee sh a n
आँफ	aa mq ph
आँर्गनाइेशन	aa mq r g a n aa i ee sh a n
आँर्डर	aa mq r dx a r
आँलराउंडर्स	aa mq l r aa u q dx a r s
आँस्ट्रलिया	aa mq s tx r a l i y aa
आँस्ट्रलियाई	aa mq s tx r a l i y aa ii
आंकड़ा	aa q k dxq aa
आंकड़े	aa q k dxq ee
आंकडा	aa q k dx aa
आंकडे	aa q k dx ee
आंका	aa q k aa
आंकेंगे	aa q k ee q g ee
आंकड़ा	aa q k dxq aa
आंकड़े	aa q k dxq ee
आंकड़ों	aa q k dxq o q
आंखें	aa q kh ee q
आंखों	aa q kh o q
आंगन	aa q g a n
आंच	aa q c
आंचलिक	aa q c l i k
आंतरिक	aa q t r i k
आंदोलन	aa q d o l a n
आंदोलनर	aa q d o l n a r
आंदोललन	aa q d o l l a n
आंधा	aa q dh aa
आंधी	aa q dh ii
आंध्र	aa q dh r
आंध्रप्रदेश	aa q dh r a p r a d ee sh
आंध्रा	aa q dh r aa
आंबेडकर	aa q b ee dx k a r
आंशका	aa q sh k aa
आंशिक	aa q sh i k
आंसर	aa q s a r
आंसरी	aa q s r ii
आंसुओं	aa q s u o q
आंसू	aa q s uu
आअनारक्षित	aa a n aa r a k sx i t
आआ	aa aa
आआरबी	aa aa r b ii
आइ	aa i
आइआइएम	aa i aa i ee m
आइआइटी	aa i aa i tx ii
आइए	aa i ee
आइएफपीआरआइ	aa i ee ph p ii aa r aa i
आइएस	aa i ee s
आइएसआइ	aa i ee s aa i
आइजी	aa i j ii
आइटम	aa i tx a m
आइडिया	aa i dx i y aa
आइडीबीआई	aa i dx ii b ii aa ii
आइडेंटिफिकेशन	aa i dx ee q tx i ph i k ee sh a n
आइन्सटभीन	aa i n s a tx a bh ii n
आइन्स्टीन	aa i n s tx ii n
आइस	aa i s
आइसीआइसीआइ	aa i s ii aa i s ii aa i
आइसीडीएस	aa i s ii dx ii ee s
आई	aa ii
आईं	aa ii q
आईआईटी	aa ii aa ii tx ii
आईआईसीसी	aa ii aa ii s ii s ii
आईईडी	aa ii ii dx ii
आईए	aa ii ee
आईएएनएस	aa ii ee ee n ee s
आईएएस	aa ii ee ee s
आईएडी	aa ii ee dx ii
आईएफए	aa ii ee ph ee
आईएमडीबी	aa ii ee m dx ii b ii
आईएसआईएस	aa ii ee s aa ii ee s
आईएसएल	aa ii ee s ee l
आईओएस	aa ii o ee s
आईकार्ड	aa ii k aa r dx
आईटम	aa ii tx a m
आईटी	aa ii tx ii
आईटीआई	aa ii tx ii aa ii
आईडिया	aa ii dx i y aa
आईडी	aa ii dx ii
आईडीबीआई	aa ii dx ii b ii aa ii
आईपीएल	aa ii p ii ee l
